Jahr,Monat,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Hamburg
2011,1,37.9,37.8,76.3,73.1,67.7,37.1,58.2,58.0
2012,1,73.5,73.9,114.0,121.3,105.2,70.5,116.6,116.6
2013,1,61.6,61.6,52.8,80.9,50.4,75.2,61.1,61.2
2014,1,32.9,32.9,55.1,47.9,46.9,39.0,43.5,43.6
2015,1,69.6,69.3,107.6,89.1,81.1,78.4,87.7,87.9
2016,1,41.2,41.2,123.1,100.1,74.9,42.4,67.6,67.5
2017,1,36.9,36.8,43.5,46.5,35.2,43.9,60.5,60.6
2018,1,62.3,62.1,157.8,115.7,107.6,77.6,98.2,98.3
2019,1,54.1,54.2,95.6,105.3,74.8,52.5,77.4,77.2
2020,1,34.9,34.9,33.9,31.7,47.8,45.2,44.5,44.9
2021,1,52.4,52.5,115.7,85.8,85.6,61.5,71.0,70.9
2022,1,36.1,36.2,61.2,62.1,74.7,40.2,52.9,52.9
2011,2,25.0,25.0,21.2,24.8,31.7,34.0,40.8,41.4
2012,2,31.7,31.6,21.7,28.8,16.8,28.0,22.0,22.1
2013,2,36.7,36.8,77.4,68.5,43.9,39.1,39.8,39.7
2014,2,13.7,13.8,56.5,25.1,36.8,24.0,32.2,32.2
2015,2,8.8,8.9,30.6,17.6,24.4,12.5,29.7,29.7
2016,2,47.0,47.0,95.2,83.5,80.3,56.9,81.2,81.6
2017,2,34.7,34.9,46.8,41.0,41.1,36.0,51.4,51.5
2018,2,4.6,4.7,35.6,28.7,13.1,11.7,11.6,11.7
2019,2,23.9,23.9,26.1,35.3,24.9,25.5,26.8,26.9
2020,2,77.7,77.4,156.2,130.9,123.8,79.6,136.5,136.5
2021,2,35.8,35.9,56.0,49.9,58.1,33.4,49.5,49.1
2022,2,62.3,62.3,67.1,59.3,85.2,94.1,121.7,122.2
2011,3,20.7,20.8,27.2,33.9,12.2,21.5,10.8,10.8
2012,3,11.1,11.1,17.4,19.6,14.1,9.0,13.7,13.7
2013,3,27.9,27.9,45.3,40.5,31.8,23.6,24.0,23.9
2014,3,18.4,18.3,17.5,26.5,12.4,16.6,19.0,19.1
2015,3,39.3,39.3,53.5,59.4,48.4,51.1,66.6,66.8
2016,3,29.4,29.5,55.9,47.7,62.3,26.5,37.0,36.9
2017,3,46.9,46.8,67.7,68.1,51.4,47.2,56.3,56.6
2018,3,46.8,46.7,46.2,47.6,56.4,66.3,45.4,45.4
2019,3,55.2,55.0,84.8,72.1,74.6,51.6,84.0,84.0
2020,3,31.6,31.6,64.6,50.1,57.6,36.8,52.6,52.5
2021,3,33.3,33.3,54.0,44.7,42.5,40.5,54.5,54.7
2022,3,1.7,1.7,24.5,18.8,18.5,0.9,13.8,13.9
2011,4,26.5,26.3,27.3,27.2,24.5,23.2,23.1,22.9
2012,4,27.8,27.8,60.2,52.0,41.9,32.0,35.8,35.8
2013,4,20.3,20.3,72.5,44.3,54.5,23.4,29.5,29.5
2014,4,32.4,32.6,49.9,42.4,44.1,38.7,50.8,50.9
2015,4,25.7,25.8,62.0,54.5,37.6,28.0,36.2,36.0
2016,4,29.6,29.5,100.4,60.5,51.0,30.3,50.3,50.4
2017,4,29.2,29.3,57.7,72.4,20.0,49.0,33.7,34.0
2018,4,33.6,33.5,27.8,25.9,50.0,37.9,52.2,52.3
2019,4,13.1,13.2,49.5,32.1,32.3,13.9,29.2,29.1
2020,4,11.1,11.0,14.2,25.3,17.4,14.1,13.9,14.0
2021,4,29.3,29.3,31.5,32.0,43.3,29.1,41.2,41.2
2011,5,33.4,33.7,49.6,81.7,21.8,45.5,31.4,31.5
2012,5,37.9,37.9,66.0,67.3,63.7,22.7,48.6,48.5
2013,5,94.0,94.3,149.3,160.5,139.4,85.9,116.3,116.6
2014,5,83.2,83.1,73.2,108.9,92.0,45.7,100.6,100.4
2015,5,25.1,25.3,92.8,98.8,22.5,44.5,38.4,38.7
2016,5,34.1,34.4,121.1,109.5,66.2,29.1,42.7,42.7
2017,5,37.9,38.2,83.0,78.2,72.9,57.1,48.2,48.5
2018,5,20.3,20.3,95.4,77.0,60.1,12.0,25.3,25.0
2019,5,39.2,39.3,121.3,130.8,99.3,37.5,42.8,42.9
2020,5,32.3,32.3,53.0,58.5,36.2,22.7,24.1,24.1
2021,5,63.9,64.2,124.1,127.9,79.6,63.7,87.7,87.8
2011,6,60.8,60.6,91.1,112.5,96.5,86.5,90.3,90.1
2012,6,78.9,78.8,123.0,123.0,102.2,56.3,71.1,71.0
2013,6,84.9,85.3,83.2,138.4,60.3,73.3,66.6,67.0
2014,6,53.4,53.5,47.4,44.6,46.3,80.3,63.5,63.3
2015,6,46.5,46.6,82.6,90.1,45.5,37.8,36.5,36.4
2016,6,79.8,80.0,148.9,133.4,103.0,64.8,115.8,115.9
2017,6,128.7,126.9,81.1,85.4,64.0,128.7,101.6,102.1
2018,6,33.7,33.7,61.9,81.7,33.3,31.1,34.8,35.0
2019,6,59.9,59.5,77.8,53.4,50.2,72.0,57.6,57.7
2020,6,59.2,59.4,102.5,146.0,82.2,68.9,73.8,73.4
2021,6,76.4,76.5,160.5,127.7,91.6,49.9,75.1,74.9
2011,7,202.9,202.7,138.7,144.5,68.0,222.8,67.5,68.0
2012,7,105.3,104.7,98.4,91.9,107.7,80.2,95.5,95.5
2013,7,36.1,36.1,71.6,32.6,37.0,36.8,33.5,33.6
2014,7,85.6,85.8,191.6,147.6,147.4,78.1,101.3,100.9
2015,7,77.5,77.7,37.2,44.9,62.0,71.4,113.7,113.6
2016,7,56.4,56.4,71.1,110.2,57.8,61.1,58.4,58.6
2017,7,128.7,127.8,134.1,138.0,159.2,125.2,138.0,137.3
2018,7,54.6,54.2,50.7,60.8,28.7,40.6,27.2,27.3
2019,7,51.3,50.9,76.0,82.2,47.0,51.1,39.2,39.4
2020,7,44.2,44.2,38.8,71.0,28.8,59.5,65.2,65.5
2021,7,62.3,62.2,143.3,149.0,99.0,78.4,73.2,72.9
2011,8,65.0,64.7,84.2,89.0,103.5,100.6,119.1,119.6
2012,8,43.1,42.7,83.5,112.8,44.4,46.3,54.1,54.1
2013,8,44.2,43.9,76.7,91.2,51.4,34.8,43.5,43.4
2014,8,69.5,70.5,115.6,123.1,105.9,65.4,72.2,71.9
2015,8,51.5,52.1,55.3,56.1,68.7,59.4,102.9,102.9
2016,8,35.9,35.8,51.1,70.5,32.2,39.6,39.8,39.9
2017,8,64.4,64.6,97.7,113.2,97.0,51.6,72.4,72.2
2018,8,21.3,21.7,52.1,58.9,27.8,38.6,40.7,40.8
2019,8,25.9,25.8,91.2,95.1,60.3,37.2,59.1,59.1
2020,8,58.1,58.4,113.2,132.2,70.1,60.8,65.8,65.6
2021,8,93.2,93.6,85.9,139.4,84.6,89.6,92.3,92.5
2011,9,67.0,67.3,53.9,73.5,47.3,39.1,53.3,53.3
2012,9,34.1,34.2,66.0,63.6,36.8,39.5,43.7,44.0
2013,9,57.4,57.2,107.8,107.8,67.9,71.6,73.8,73.7
2014,9,41.0,41.2,69.6,75.4,38.6,53.7,30.4,30.4
2015,9,40.1,40.3,49.3,49.3,60.5,44.5,65.7,66.0
2016,9,18.2,18.3,41.8,71.0,30.9,15.2,26.0,26.1
2017,9,33.9,33.9,67.1,75.3,62.7,44.5,82.7,82.5
2018,9,25.3,25.4,49.0,67.8,44.8,19.7,34.3,34.1
2019,9,55.7,55.6,58.9,61.3,48.8,73.5,85.0,85.2
2020,9,56.1,56.2,49.3,62.4,28.5,53.2,44.8,44.6
2021,9,26.4,26.2,31.3,37.9,26.2,41.9,44.0,44.3
2011,10,37.0,37.0,61.1,66.7,47.8,35.7,59.4,59.4
2012,10,37.1,37.3,77.4,63.0,60.4,56.8,67.8,67.7
2013,10,58.4,58.5,105.9,70.4,107.7,56.4,69.7,69.7
2014,10,43.3,43.5,70.4,82.2,65.7,55.4,58.2,58.0
2015,10,56.5,56.2,31.2,56.1,31.8,49.0,48.9,48.7
2016,10,55.2,55.5,63.0,52.3,56.1,54.1,48.3,47.8
2017,10,79.2,79.1,65.2,77.7,53.1,112.1,83.2,83.8
2018,10,18.8,18.8,31.7,38.4,17.1,25.2,31.6,31.7
2019,10,54.2,54.3,105.0,81.3,81.6,64.9,100.8,100.7
2020,10,68.3,68.4,85.3,81.0,73.0,60.7,77.4,77.2
2021,10,26.8,27.0,49.2,32.6,42.1,57.4,60.2,60.4
2011,11,1.2,1.3,1.4,0.9,1.4,4.4,3.1,3.1
2012,11,49.8,49.8,119.4,72.3,48.5,36.3,34.5,34.5
2013,11,50.6,50.5,92.6,76.5,78.1,50.5,74.4,74.4
2014,11,7.0,7.0,59.1,32.0,37.2,11.8,22.7,22.6
2015,11,75.8,75.9,100.8,94.7,96.1,90.2,127.1,127.1
2016,11,39.2,39.2,77.2,70.5,58.2,45.4,50.5,50.4
2017,11,60.7,60.5,119.2,86.5,85.9,61.2,78.2,78.2
2018,11,15.3,15.2,21.0,20.8,25.6,11.5,19.9,19.9
2019,11,41.3,41.3,64.3,50.8,60.6,65.5,65.9,65.9
2020,11,11.5,11.3,27.9,21.2,20.3,11.9,25.0,24.9
2021,11,60.5,60.4,39.2,52.0,37.9,61.2,42.6,42.7
2011,12,71.5,71.3,180.0,132.7,132.8,84.6,134.1,134.6
2012,12,46.6,46.7,130.3,111.7,108.1,56.1,91.2,91.1
2013,12,32.8,32.6,52.8,21.7,43.2,37.2,53.3,53.5
2014,12,47.7,47.6,69.5,66.0,70.0,97.1,88.8,89.4
2015,12,28.4,28.4,29.2,33.3,40.2,39.7,40.4,40.5
2016,12,45.0,44.9,6.1,14.1,14.9,52.5,35.4,35.7
2017,12,40.2,40.2,94.0,85.8,93.5,45.2,83.8,83.7
2018,12,53.9,54.0,136.0,133.9,111.8,58.1,91.0,90.8
2019,12,31.6,31.6,82.3,60.9,74.5,35.5,50.4,50.4
2020,12,26.2,26.3,77.1,50.7,70.8,51.3,65.3,65.3
2021,12,39.8,39.6,90.1,84.1,52.9,45.7,57.0,57.2
